brand,price,model,model_year,milage,fuel_type,transmission,engine,accident
Ford,"$10,300",Utility Police Interceptor Base,2013,"51,000 mi.",E85 Flex Fuel,6-Speed A/T,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,At least 1 accident or damage reported
Hyundai,"$38,005",Palisade SEL,2021,"34,742 mi.",Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,At least 1 accident or damage reported
Lexus,"$54,598",RX 350 RX 350,2022,"22,372 mi.",Gasoline,Automatic,3.5 Liter DOHC,None reported
INFINITI,"$15,500",Q50 Hybrid Sport,2015,"88,900 mi.",Hybrid,7-Speed A/T,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,None reported
Audi,"$34,999",Q3 45 S line Premium Plus,2021,"9,835 mi.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported
Acura,"$14,798",ILX 2.4L,2016,"136,397 mi.",Gasoline,F,2.4 Liter,None reported
Audi,"$31,000",S3 2.0T Premium Plus,2017,"84,000 mi.",Gasoline,6-Speed A/T,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
BMW,"$7,300",740 iL,2001,"242,000 mi.",Gasoline,A/T,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$41,927",RC 350 F Sport,2021,"23,436 mi.",Gasoline,6-Speed A/T,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Tesla,"$69,950",Model X Long Range Plus,2020,"34,000 mi.",,A/T,534.0HP Electric Motor Electric Fuel System,None reported
Land,"$73,897",Rover Range Rover Sport 3.0 Supercharged HST,2021,"27,608 mi.",Gasoline,Automatic,V6,None reported
Aston,"$184,606",Martin DBS Superleggera,2019,"22,770 mi.",Gasoline,8-Speed A/T,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$53,500",Supra 3.0 Premium,2021,"12,500 mi.",Gasoline,A/T,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Lincoln,"$62,000",Aviator Reserve AWD,2022,"18,196 mi.",Gasoline,Transmission w/Dual Shift Mode,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Jaguar,"$47,998",F-TYPE,2020,"15,903 mi.",Gasoline,Automatic,2.0 Liter Supercharged,None reported
Land,"$29,990",Rover LR4 HSE,2013,"79,800 mi.",Gasoline,A/T,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$250,000",Metris Base,2021,"1,685 mi.",Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported
Dodge,"$16,800",Challenger SXT,2013,"61,074 mi.",Gasoline,A/T,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Nissan,"$11,000",350Z Enthusiast,2003,"74,000 mi.",Gasoline,6-Speed M/T,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Jaguar,"$68,750",F-TYPE R,2018,"35,250 mi.",Gasoline,8-Speed A/T,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Genesis,"$60,000",GV70 3.5T Sport,2023,"5,400 mi.",Gasoline,8-Speed A/T,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,
Chevrolet,"$4,500",S-10 LS,2000,"133,510 mi.",E85 Flex Fuel,A/T,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,None reported
BMW,"$38,598",440 Gran Coupe 440i xDrive,2020,"25,990 mi.",Gasoline,Automatic,3.0 Liter Turbo,None reported
Ford,"$58,504",F-150 XLT,2023,"2,823 mi.",Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,None reported
Chevrolet,"$61,000",Suburban RST,2021,"52,000 mi.",Gasoline,10-Speed A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$32,300",Elantra N Base,2022,"11,650 mi.",Gasoline,Transmission w/Dual Shift Mode,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Nissan,"$13,998",Sentra SR,2016,"96,541 mi.",Gasoline,Automatic,1.8 Liter,None reported
Mercedes-Benz,"$59,995",AMG CLA 45 Base 4MATIC,2021,"17,500 mi.",Gasoline,A/T,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
BMW,"$25,700",650 Gran Coupe i xDrive,2015,"69,000 mi.",Gasoline,8-Speed A/T,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,None reported
Audi,"$21,375",Q5 2.0T Premium Plus,2017,"81,880 mi.",E85 Flex Fuel,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,None reported
Mercedes-Benz,"$48,000",AMG C 43 Base 4MATIC,2018,"28,800 mi.",Gasoline,9-Speed A/T,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$10,900",Ram 1500 Laramie Mega Cab,2006,"300,183 mi.",Gasoline,A/T,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$24,998",i3 120Ah w/Range Extender,2020,"35,035 mi.",Hybrid,Automatic,120 AH,None reported
Kia,"$5,999",Sorento SX,2011,"171,000 mi.",Gasoline,A/T,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$46,900",LX 570 Base,2016,"118,700 mi.",Gasoline,8-Speed A/T,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$15,900",New Compass Trailhawk,2017,"119,000 mi.",Gasoline,A/T,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,None reported
BMW,"$33,598",340 i,2018,"44,261 mi.",Gasoline,Automatic,3.0 Liter Turbo,None reported
Audi,"$8,999",A4 2.0T Premium Plus quattro,2012,"125,575 mi.",Gasoline,8-Speed A/T,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$8,200",Tucson SE,2007,"16,200 mi.",Gasoline,A/T,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$20,000",Z4 sDrive28i,2014,"70,000 mi.",Gasoline,A/T,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Bentley,"$79,950",Continental GTC Base,2011,"20,200 mi.",E85 Flex Fuel,6-Speed A/T,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,None reported
Honda,"$45,498",Passport Elite,2023,"2,978 mi.",Gasoline,Automatic,3.5 Liter SOHC,None reported
Dodge,"$14,000",Sprinter 2500,2007,"189,719 mi.",Diesel,5-Speed A/T,3.0L V6 Cylinder Engine Diesel Fuel,At least 1 accident or damage reported
BMW,"$75,798",M850 i xDrive,2019,"9,949 mi.",Gasoline,Automatic,4.4 Liter DOHC Twin Turbo,None reported
Lucid,"$119,999",Air Grand Touring,2022,"3,552 mi.",,1-Speed A/T,536.0HP Electric Motor Electric Fuel System,None reported
Audi,"$36,880",A7 Premium,2012,"54,000 mi.",Gasoline,8-Speed A/T,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
